cycle_nodes,cycle_edges,vorticity
"Tipsarevic J.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Roddick A.,Tipsarevic J.","(Tipsarevic J.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Roddick A.);(Roddick A.,Tipsarevic J.)",60.0
"Tipsarevic J.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Seppi A.,Tipsarevic J.","(Tipsarevic J.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Seppi A.);(Seppi A.,Tipsarevic J.)",60.0
"Tipsarevic J.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Becker B.,Tipsarevic J.","(Tipsarevic J.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Becker B.);(Becker B.,Tipsarevic J.)",60.0
"Tipsarevic J.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Llodra M.,Witten J.,Baghdatis M.,Tipsarevic J.","(Tipsarevic J.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Llodra M.);(Llodra M.,Witten J.);(Witten J.,Baghdatis M.);(Baghdatis M.,Tipsarevic J.)",60.0
"Youzhny M.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Cilic M.,Youzhny M.","(Youzhny M.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Cilic M.);(Cilic M.,Youzhny M.)",60.0
"Mertens Y.,Rufin G.,Tomic B.,Fish M.,Golubev A.,Gimeno-Traver D.,Beck A.,Hajek J.,Mertens Y.","(Mertens Y.,Rufin G.);(Rufin G.,Tomic B.);(Tomic B.,Fish M.);(Fish M.,Golubev A.);(Golubev A.,Gimeno-Traver D.);(Gimeno-Traver D.,Beck A.);(Beck A.,Hajek J.);(Hajek J.,Mertens Y.)",60.0
"Klizan M.,Wawrinka S.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Beck A.,Gimeno-Traver D.,Schuettler R.,Dolgopolov O.,Klizan M.","(Klizan M.,Wawrinka S.);(Wawrinka S.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Beck A.);(Beck A.,Gimeno-Traver D.);(Gimeno-Traver D.,Schuettler R.);(Schuettler R.,Dolgopolov O.);(Dolgopolov O.,Klizan M.)",60.0
"Tipsarevic J.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Rochus O.,Tipsarevic J.","(Tipsarevic J.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Rochus O.);(Rochus O.,Tipsarevic J.)",60.0
"Malisse X.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Serra F.,Benneteau J.,Malisse X.","(Malisse X.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Serra F.);(Serra F.,Benneteau J.);(Benneteau J.,Malisse X.)",60.0
"Greul S.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Berrer M.,Greul S.","(Greul S.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Berrer M.);(Berrer M.,Greul S.)",59.99999999999999
