cycle_nodes,cycle_edges,vorticity
"Wolfsburg,Holstein Kiel,Bayern Munich,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Wolfsburg)",-1.3862943611198921
"Stuttgart,Holstein Kiel,Bayern Munich,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Stuttgart)",-1.3862943611198917
"Ein Frankfurt,Holstein Kiel,Bayern Munich,Ein Frankfurt","(Ein Frankfurt,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Ein Frankfurt)",-1.3862943611198917
"Leverkusen,Holstein Kiel,Augsburg,Leverkusen","(Leverkusen,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,Leverkusen)",-1.3862943611198917
"Mainz,Holstein Kiel,Dortmund,Mainz","(Mainz,Holstein Kiel);(Holstein Kiel,Dortmund);(Dortmund,Mainz)",-1.3862943611198912
"RB Leipzig,Holstein Kiel,Dortmund,RB Leipzig","(RB Leipzig,Holstein Kiel);(Holstein Kiel,Dortmund);(Dortmund,RB Leipzig)",-1.3862943611198912
"M'gladbach,Holstein Kiel,Dortmund,M'gladbach","(M'gladbach,Holstein Kiel);(Holstein Kiel,Dortmund);(Dortmund,M'gladbach)",-1.386294361119891
"Leverkusen,Holstein Kiel,Dortmund,Leverkusen","(Leverkusen,Holstein Kiel);(Holstein Kiel,Dortmund);(Dortmund,Leverkusen)",-1.386294361119891
"Heidenheim,Holstein Kiel,Bochum,Heidenheim","(Heidenheim,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,Heidenheim)",-1.3862943611198908
"Stuttgart,Holstein Kiel,Heidenheim,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,Heidenheim);(Heidenheim,Stuttgart)",-1.3862943611198908
"Mainz,Holstein Kiel,Heidenheim,Mainz","(Mainz,Holstein Kiel);(Holstein Kiel,Heidenheim);(Heidenheim,Mainz)",-1.3862943611198908
"Union Berlin,Holstein Kiel,Bochum,Union Berlin","(Union Berlin,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,Union Berlin)",-1.3862943611198908
"Wolfsburg,Holstein Kiel,Heidenheim,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,Heidenheim);(Heidenheim,Wolfsburg)",-1.3862943611198908
"Stuttgart,Holstein Kiel,Augsburg,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,Stuttgart)",-1.3862943611198908
"Wolfsburg,Holstein Kiel,Leverkusen,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,Leverkusen);(Leverkusen,Wolfsburg)",-1.3862943611198908
"Union Berlin,Holstein Kiel,RB Leipzig,Union Berlin","(Union Berlin,Holstein Kiel);(Holstein Kiel,RB Leipzig);(RB Leipzig,Union Berlin)",1.3862943611198908
"Werder Bremen,Holstein Kiel,Mainz,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,Mainz);(Mainz,Werder Bremen)",1.3862943611198908
"Wolfsburg,Holstein Kiel,Mainz,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,Mainz);(Mainz,Wolfsburg)",1.3862943611198908
"RB Leipzig,Holstein Kiel,Leverkusen,RB Leipzig","(RB Leipzig,Holstein Kiel);(Holstein Kiel,Leverkusen);(Leverkusen,RB Leipzig)",1.3862943611198908
"Stuttgart,Holstein Kiel,Leverkusen,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,Leverkusen);(Leverkusen,Stuttgart)",-1.3862943611198906
"Stuttgart,Holstein Kiel,M'gladbach,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,M'gladbach);(M'gladbach,Stuttgart)",-1.3862943611198906
"Mainz,Holstein Kiel,Leverkusen,Mainz","(Mainz,Holstein Kiel);(Holstein Kiel,Leverkusen);(Leverkusen,Mainz)",-1.3862943611198906
"Wolfsburg,Holstein Kiel,Union Berlin,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,Union Berlin);(Union Berlin,Wolfsburg)",-1.3862943611198906
"Stuttgart,Holstein Kiel,Mainz,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,Mainz);(Mainz,Stuttgart)",-1.3862943611198904
"Wolfsburg,Holstein Kiel,Stuttgart,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,Stuttgart);(Stuttgart,Wolfsburg)",1.3862943611198904
"Werder Bremen,Holstein Kiel,St Pauli,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,St Pauli);(St Pauli,Werder Bremen)",1.3862943611198901
"Stuttgart,Holstein Kiel,Ein Frankfurt,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,Ein Frankfurt);(Ein Frankfurt,Stuttgart)",-1.38629436111989
