cycle_nodes,cycle_edges,vorticity
"Zverev A.,Djokovic N.,Fritz T.,Ruud C.,Khachanov K.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Khachanov K.);(Khachanov K.,Zverev A.)",9.999999999999998
"Zverev A.,Djokovic N.,Fritz T.,Ruud C.,Medvedev D.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Medvedev D.);(Medvedev D.,Zverev A.)",-0.6931471805599454
"Tsitsipas S.,Fils A.,Medvedev D.,Ruud C.,Fritz T.,Djokovic N.,De Minaur A.,Hurkacz H.,Rublev A.,Auger-Aliassime F.,Tsitsipas S.","(Tsitsipas S.,Fils A.);(Fils A.,Medvedev D.);(Medvedev D.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Hurkacz H.);(Hurkacz H.,Rublev A.);(Rublev A.,Auger-Aliassime F.);(Auger-Aliassime F.,Tsitsipas S.)",3.552713678800501e-15
"Rublev A.,Hurkacz H.,De Minaur A.,Djokovic N.,Fritz T.,Ruud C.,Medvedev D.,Fils A.,Rublev A.","(Rublev A.,Hurkacz H.);(Hurkacz H.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Medvedev D.);(Medvedev D.,Fils A.);(Fils A.,Rublev A.)",-2.6645352591003757e-15
"Lehecka J.,De Minaur A.,Djokovic N.,Fritz T.,Ruud C.,Draper J.,Lehecka J.","(Lehecka J.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Draper J.);(Draper J.,Lehecka J.)",-1.7763568394002505e-15
"Dimitrov G.,Djokovic N.,Alcaraz C.,Dimitrov G.","(Dimitrov G.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Dimitrov G.)",0.0
"Tiafoe F.,De Minaur A.,Djokovic N.,Musetti L.,Tiafoe F.","(Tiafoe F.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Musetti L.);(Musetti L.,Tiafoe F.)",0.0
"Shelton B.,De Minaur A.,Djokovic N.,Fritz T.,Shelton B.","(Shelton B.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Shelton B.)",0.0
"Zverev A.,Djokovic N.,Fritz T.,Ruud C.,Medvedev D.,Davidovich Fokina A.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Medvedev D.);(Medvedev D.,Davidovich Fokina A.);(Davidovich Fokina A.,Zverev A.)",0.0
"Shelton B.,De Minaur A.,Djokovic N.,Cobolli F.,Shelton B.","(Shelton B.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Cobolli F.);(Cobolli F.,Shelton B.)",0.0
"Fritz T.,Djokovic N.,De Minaur A.,Bublik A.,Fritz T.","(Fritz T.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Bublik A.);(Bublik A.,Fritz T.)",0.0
"Sinner J.,Djokovic N.,Machac T.,Paul T.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,Machac T.);(Machac T.,Paul T.);(Paul T.,Sinner J.)",0.0
"Sinner J.,Djokovic N.,De Minaur A.,Shelton B.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Shelton B.);(Shelton B.,Sinner J.)",0.0
"Lehecka J.,De Minaur A.,Djokovic N.,Fritz T.,Ruud C.,Humbert U.,Lehecka J.","(Lehecka J.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Humbert U.);(Humbert U.,Lehecka J.)",0.0
"Zverev A.,Djokovic N.,Musetti L.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Musetti L.);(Musetti L.,Zverev A.)",0.0
"Sinner J.,Djokovic N.,Fritz T.,Ruud C.,Cerundolo F.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Cerundolo F.);(Cerundolo F.,Sinner J.)",0.0
"Musetti L.,Djokovic N.,Alcaraz C.,Musetti L.","(Musetti L.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Musetti L.)",0.0
"Zverev A.,Djokovic N.,Alcaraz C.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Zverev A.)",0.0
"Medvedev D.,Ruud C.,Fritz T.,Djokovic N.,De Minaur A.,Medvedev D.","(Medvedev D.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Medvedev D.)",0.0
"Fritz T.,Djokovic N.,Alcaraz C.,Fritz T.","(Fritz T.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Fritz T.)",0.0
"Sinner J.,Djokovic N.,Fritz T.,Ruud C.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Sinner J.)",0.0
"Paul T.,Machac T.,Djokovic N.,De Minaur A.,Paul T.","(Paul T.,Machac T.);(Machac T.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Paul T.)",0.0
"Zverev A.,Djokovic N.,Fritz T.,Ruud C.,Cerundolo F.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Cerundolo F.);(Cerundolo F.,Zverev A.)",0.0
"Shelton B.,De Minaur A.,Djokovic N.,Musetti L.,Shelton B.","(Shelton B.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Musetti L.);(Musetti L.,Shelton B.)",0.0
"Rune H.,Ruud C.,Fritz T.,Djokovic N.,Alcaraz C.,Rune H.","(Rune H.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Rune H.)",0.0
"Sinner J.,Djokovic N.,De Minaur A.,Bublik A.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Bublik A.);(Bublik A.,Sinner J.)",0.0
"Popyrin A.,Medvedev D.,Ruud C.,Draper J.,Popyrin A.","(Popyrin A.,Medvedev D.);(Medvedev D.,Ruud C.);(Ruud C.,Draper J.);(Draper J.,Popyrin A.)",0.0
"Ruud C.,Fritz T.,Djokovic N.,Korda S.,Ruud C.","(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,Korda S.);(Korda S.,Ruud C.)",0.0
"De Minaur A.,Djokovic N.,Alcaraz C.,De Minaur A.","(De Minaur A.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,De Minaur A.)",0.0
