cycle_nodes,cycle_edges,vorticity
"Villarreal,Barcelona,Sociedad,Villarreal","(Villarreal,Barcelona);(Barcelona,Sociedad);(Sociedad,Villarreal)",-1.3862943611198912
"Valencia,Barcelona,Alaves,Valencia","(Valencia,Barcelona);(Barcelona,Alaves);(Alaves,Valencia)",-1.3862943611198912
"Espanol,Barcelona,Ath Bilbao,Espanol","(Espanol,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Espanol)",-1.386294361119891
"Sevilla,Barcelona,Alaves,Sevilla","(Sevilla,Barcelona);(Barcelona,Alaves);(Alaves,Sevilla)",-1.386294361119891
"Sociedad,Barcelona,Ath Madrid,Sociedad","(Sociedad,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Sociedad)",-1.3862943611198908
"Sevilla,Barcelona,Ath Bilbao,Sevilla","(Sevilla,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Sevilla)",-1.3862943611198908
"Vallecano,Barcelona,Sevilla,Vallecano","(Vallecano,Barcelona);(Barcelona,Sevilla);(Sevilla,Vallecano)",-1.3862943611198908
"Valladolid,Barcelona,Celta,Valladolid","(Valladolid,Barcelona);(Barcelona,Celta);(Celta,Valladolid)",-1.3862943611198908
"Villarreal,Barcelona,Celta,Villarreal","(Villarreal,Barcelona);(Barcelona,Celta);(Celta,Villarreal)",-1.3862943611198908
"Valladolid,Barcelona,Getafe,Valladolid","(Valladolid,Barcelona);(Barcelona,Getafe);(Getafe,Valladolid)",-1.3862943611198908
"Leganes,Barcelona,Celta,Leganes","(Leganes,Barcelona);(Barcelona,Celta);(Celta,Leganes)",-1.3862943611198908
"Valladolid,Barcelona,Ath Bilbao,Valladolid","(Valladolid,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Valladolid)",-1.3862943611198908
"Mallorca,Barcelona,Celta,Mallorca","(Mallorca,Barcelona);(Barcelona,Celta);(Celta,Mallorca)",-1.3862943611198908
"Vallecano,Barcelona,Real Madrid,Vallecano","(Vallecano,Barcelona);(Barcelona,Real Madrid);(Real Madrid,Vallecano)",-1.3862943611198908
"Ath Bilbao,Barcelona,Alaves,Ath Bilbao","(Ath Bilbao,Barcelona);(Barcelona,Alaves);(Alaves,Ath Bilbao)",1.3862943611198908
"Girona,Barcelona,Espanol,Girona","(Girona,Barcelona);(Barcelona,Espanol);(Espanol,Girona)",1.3862943611198908
"Real Madrid,Barcelona,Mallorca,Real Madrid","(Real Madrid,Barcelona);(Barcelona,Mallorca);(Mallorca,Real Madrid)",1.3862943611198908
"Vallecano,Barcelona,Valencia,Vallecano","(Vallecano,Barcelona);(Barcelona,Valencia);(Valencia,Vallecano)",1.3862943611198908
"Sevilla,Barcelona,Espanol,Sevilla","(Sevilla,Barcelona);(Barcelona,Espanol);(Espanol,Sevilla)",1.3862943611198908
"Osasuna,Barcelona,Las Palmas,Osasuna","(Osasuna,Barcelona);(Barcelona,Las Palmas);(Las Palmas,Osasuna)",1.3862943611198906
"Valencia,Barcelona,Sevilla,Valencia","(Valencia,Barcelona);(Barcelona,Sevilla);(Sevilla,Valencia)",1.3862943611198906
"Vallecano,Barcelona,Mallorca,Vallecano","(Vallecano,Barcelona);(Barcelona,Mallorca);(Mallorca,Vallecano)",-1.3862943611198904
"Osasuna,Barcelona,Betis,Osasuna","(Osasuna,Barcelona);(Barcelona,Betis);(Betis,Osasuna)",-1.3862943611198904
"Osasuna,Barcelona,Celta,Osasuna","(Osasuna,Barcelona);(Barcelona,Celta);(Celta,Osasuna)",-1.3862943611198904
"Getafe,Barcelona,Ath Madrid,Getafe","(Getafe,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Getafe)",1.3862943611198904
"Vallecano,Barcelona,Girona,Vallecano","(Vallecano,Barcelona);(Barcelona,Girona);(Girona,Vallecano)",1.3862943611198904
"Villarreal,Barcelona,Osasuna,Villarreal","(Villarreal,Barcelona);(Barcelona,Osasuna);(Osasuna,Villarreal)",1.3862943611198904
"Sociedad,Barcelona,Las Palmas,Sociedad","(Sociedad,Barcelona);(Barcelona,Las Palmas);(Las Palmas,Sociedad)",1.3862943611198904
"Valencia,Barcelona,Girona,Valencia","(Valencia,Barcelona);(Barcelona,Girona);(Girona,Valencia)",1.3862943611198901
"Las Palmas,Barcelona,Getafe,Las Palmas","(Las Palmas,Barcelona);(Barcelona,Getafe);(Getafe,Las Palmas)",-1.38629436111989
"Las Palmas,Barcelona,Betis,Las Palmas","(Las Palmas,Barcelona);(Barcelona,Betis);(Betis,Las Palmas)",-1.38629436111989
"Getafe,Barcelona,Alaves,Getafe","(Getafe,Barcelona);(Barcelona,Alaves);(Alaves,Getafe)",1.38629436111989
"Mallorca,Barcelona,Ath Madrid,Mallorca","(Mallorca,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Mallorca)",-8.881784197001252e-16
"Leganes,Barcelona,Ath Madrid,Leganes","(Leganes,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Leganes)",-8.881784197001252e-16
"Espanol,Barcelona,Betis,Espanol","(Espanol,Barcelona);(Barcelona,Betis);(Betis,Espanol)",-8.881784197001252e-16
"Sevilla,Barcelona,Ath Madrid,Sevilla","(Sevilla,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Sevilla)",-8.881784197001252e-16
"Valencia,Barcelona,Ath Madrid,Valencia","(Valencia,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Valencia)",-8.881784197001252e-16
"Villarreal,Barcelona,Espanol,Villarreal","(Villarreal,Barcelona);(Barcelona,Espanol);(Espanol,Villarreal)",8.881784197001252e-16
"Villarreal,Barcelona,Sevilla,Villarreal","(Villarreal,Barcelona);(Barcelona,Sevilla);(Sevilla,Villarreal)",8.881784197001252e-16
"Villarreal,Barcelona,Mallorca,Villarreal","(Villarreal,Barcelona);(Barcelona,Mallorca);(Mallorca,Villarreal)",8.881784197001252e-16
"Mallorca,Barcelona,Ath Bilbao,Mallorca","(Mallorca,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Mallorca)",-4.440892098500626e-16
"Villarreal,Barcelona,Valladolid,Villarreal","(Villarreal,Barcelona);(Barcelona,Valladolid);(Valladolid,Villarreal)",-4.440892098500626e-16
"Mallorca,Barcelona,Girona,Mallorca","(Mallorca,Barcelona);(Barcelona,Girona);(Girona,Mallorca)",-4.440892098500626e-16
"Villarreal,Barcelona,Getafe,Villarreal","(Villarreal,Barcelona);(Barcelona,Getafe);(Getafe,Villarreal)",4.440892098500626e-16
"Osasuna,Barcelona,Leganes,Osasuna","(Osasuna,Barcelona);(Barcelona,Leganes);(Leganes,Osasuna)",4.440892098500626e-16
"Osasuna,Barcelona,Ath Madrid,Osasuna","(Osasuna,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Osasuna)",4.440892098500626e-16
"Valladolid,Barcelona,Ath Madrid,Valladolid","(Valladolid,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Valladolid)",4.440892098500626e-16
"Sevilla,Barcelona,Girona,Sevilla","(Sevilla,Barcelona);(Barcelona,Girona);(Girona,Sevilla)",-2.220446049250313e-16
"Sevilla,Barcelona,Mallorca,Sevilla","(Sevilla,Barcelona);(Barcelona,Mallorca);(Mallorca,Sevilla)",2.220446049250313e-16
"Celta,Barcelona,Ath Madrid,Celta","(Celta,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Celta)",2.220446049250313e-16
"Valencia,Barcelona,Espanol,Valencia","(Valencia,Barcelona);(Barcelona,Espanol);(Espanol,Valencia)",-1.1102230246251565e-16
"Mallorca,Barcelona,Espanol,Mallorca","(Mallorca,Barcelona);(Barcelona,Espanol);(Espanol,Mallorca)",-1.1102230246251565e-16
"Valencia,Barcelona,Real Madrid,Valencia","(Valencia,Barcelona);(Barcelona,Real Madrid);(Real Madrid,Valencia)",0.0
"Real Madrid,Barcelona,Espanol,Real Madrid","(Real Madrid,Barcelona);(Barcelona,Espanol);(Espanol,Real Madrid)",0.0
"Villarreal,Barcelona,Betis,Villarreal","(Villarreal,Barcelona);(Barcelona,Betis);(Betis,Villarreal)",0.0
"Valladolid,Barcelona,Valencia,Valladolid","(Valladolid,Barcelona);(Barcelona,Valencia);(Valencia,Valladolid)",0.0
"Sociedad,Barcelona,Betis,Sociedad","(Sociedad,Barcelona);(Barcelona,Betis);(Betis,Sociedad)",0.0
"Real Madrid,Barcelona,Ath Bilbao,Real Madrid","(Real Madrid,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Real Madrid)",0.0
"Ath Madrid,Barcelona,Ath Bilbao,Ath Madrid","(Ath Madrid,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Ath Madrid)",0.0
"Sociedad,Barcelona,Girona,Sociedad","(Sociedad,Barcelona);(Barcelona,Girona);(Girona,Sociedad)",0.0
"Valladolid,Barcelona,Espanol,Valladolid","(Valladolid,Barcelona);(Barcelona,Espanol);(Espanol,Valladolid)",0.0
"Girona,Barcelona,Ath Bilbao,Girona","(Girona,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Girona)",0.0
"Valencia,Barcelona,Mallorca,Valencia","(Valencia,Barcelona);(Barcelona,Mallorca);(Mallorca,Valencia)",0.0
"Leganes,Barcelona,Getafe,Leganes","(Leganes,Barcelona);(Barcelona,Getafe);(Getafe,Leganes)",0.0
"Valladolid,Barcelona,Osasuna,Valladolid","(Valladolid,Barcelona);(Barcelona,Osasuna);(Osasuna,Valladolid)",0.0
"Las Palmas,Barcelona,Ath Madrid,Las Palmas","(Las Palmas,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Las Palmas)",0.0
"Sociedad,Barcelona,Espanol,Sociedad","(Sociedad,Barcelona);(Barcelona,Espanol);(Espanol,Sociedad)",0.0
"Girona,Barcelona,Alaves,Girona","(Girona,Barcelona);(Barcelona,Alaves);(Alaves,Girona)",0.0
"Betis,Barcelona,Ath Madrid,Betis","(Betis,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Betis)",0.0
"Girona,Barcelona,Ath Madrid,Girona","(Girona,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Girona)",0.0
"Valladolid,Barcelona,Alaves,Valladolid","(Valladolid,Barcelona);(Barcelona,Alaves);(Alaves,Valladolid)",0.0
"Villarreal,Barcelona,Ath Madrid,Villarreal","(Villarreal,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Villarreal)",0.0
